cod_comarca;comarca;Igcrime_2016;ranking_2016;Igcrime_2015;ranking_2015;Igcrime_2014;ranking_2014;Igcrime_2013;ranking_2013;Igcrime_2012;ranking_2012
46;Comarca Nova Iguaçú e Mesquita;0,829701558;1;0,916348032;1;0,934490768;1;0,883498582;2;0,806091463;2
22;Duque de Caxias;0,801092203;2;0,798114439;3;0,920399671;2;0,999;1;0,987109302;1
68;São João de Meriti;0,710258704;3;0,77350418;4;0,70842022;4;0,790206412;3;0,684279006;4
66;São Gonçalo;0,690812477;4;0,832580027;2;0,860627887;3;0,747253948;6;0,78223609;3
44;Niterói;0,620174034;5;0,739614526;5;0,668202471;7;0,761275273;5;0,664411393;6
7;Belford Roxo;0,61526321;6;0,703680147;7;0,675954811;5;0,778006362;4;0,646270392;7
13;Campos dos Goytacazes;0,600843961;7;0,683894012;8;0,639637164;8;0,740342875;7;0,627661787;8
15;Rio de Janeiro;0,588663816;8;0,7066665;6;0,669974066;6;0,707397049;8;0,672371682;5
56;Queimados;0,567525888;9;0,536299894;10;0,600401963;10;0,584871728;12;0,508233362;13
43;Nilópolis;0,564726158;10;0,536092422;11;0,608773187;9;0,590707144;11;0,510499011;10
32;Japeri;0,558611977;11;0,531597635;12;0,590481568;14;0,581222069;14;0,509088833;11
27;Itaguaí;0,552269393;12;0,537234106;9;0,597873716;11;0,593191027;10;0,525711373;9
61;Rio das Ostras;0,546333126;13;0,522842485;14;0,586312051;16;0,578199151;16;0,502264785;15
2;Araruama;0,545977728;14;0,516411412;16;0,580164479;19;0,578882447;15;0,498591106;17
37;Maricá;0,538248728;15;0,516776007;15;0,585534693;17;0,578097697;17;0,50344475;14
74;Seropédica;0,538095822;16;0,529905784;13;0,592229632;13;0,581553905;13;0,509073503;12
70;São Pedro da Aldeia;0,537796388;17;0,516323741;17;0,586464584;15;0,574658301;19;0,501856173;16
73;Saquarema;0,535976294;18;0,510824639;19;0,595240133;12;0,594973681;9;0,495769898;18
80;Comarca de Três Rios, Areal e Levy Gasparian;0,533778397;19;0,507601684;21;0,576056773;20;0,559724484;22;0,482684635;23
30;Itaperuna;0,533061892;20;0,505021079;22;0,574545691;21;0,572038378;20;0,489233723;20
57;Resende;0,53224862;21;0,516235444;18;0,584785747;18;0,575892863;18;0,493991138;19
81;Valença;0,529590932;22;0,50280209;23;0,572321479;22;0,558161057;23;0,482437337;24
5;Barra do Piraí;0,528610702;23;0,508972279;20;0,5712245;23;0,567734266;21;0,489122793;21
10;Cabo Frio;0,425945014;24;0,405562172;25;0,47308982;24;0,463792362;24;0,468773042;26
35;Magé;0,420889015;25;0,406887262;24;0,456119782;26;0,459990389;25;0,464327144;27
26;Itaboraí;0,415319055;26;0,398963711;27;0,457443651;25;0,450281207;27;0,484557915;22
34;Macaé;0,410760905;27;0,399177843;26;0,451748088;27;0,452005024;26;0,482228885;25
1;Angra dos Reis;0,402841762;28;0,397981383;28;0,440258283;28;0,443750482;28;0,4423345;29
78;Teresópolis;0,397095097;29;0,37343504;29;0,422765103;30;0,424247785;32;0,438051497;31
